STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
IV.MOCO	15.158	41.370	273.192
GU.RNCA	8.951	44.471	197.140
HA.MRTH	23.941	38.123	138.809
Y5.BH05A	18.585	43.170	232.628
KO.ANTB	30.654	36.900	232.872
4P.IT02A	8.361	45.623	186.836
NL.ZH032	4.400	51.978	1854.330
EE.ARBE	25.984	59.437	608.027
HP.AMPL	21.213	38.922	144.169
IV.OPPE	11.172	45.308	226.162
HL.EVR	21.811	38.917	166.159
FR.LAJAS	3.221	43.970	875.003
IV.CAPA	15.817	41.158	185.733
CH.ZUR	8.581	47.369	315.085
NL.G302	6.895	53.279	1777.198
HC.KTRS	22.136	36.926	186.774
CZ.STAC	15.300	49.030	146.778
SL.CRNS	14.261	46.081	113.381
FR.BANN	4.156	44.369	285.285
FR.SURF	6.812	44.481	221.478
Y8.RO22A	24.817	45.765	94.802
HP.VLX	22.379	37.370	137.003
NL.ENV1	6.634	52.894	4093.453
NL.DR021	6.508	52.703	1700.314
TH.FRAU	12.317	50.695	170.510
HL.ZKR	26.217	35.115	335.307
NL.N024	6.453	53.072	1533.891
NL.G644	7.038	53.221	1814.461
FR.OSSF	-1.262	43.256	172.442
NO.NB203	11.168	61.011	233.887
FR.BIMF	-3.202	47.327	602.149
RO.TESR	26.649	46.512	29.057
BQ.BNS	7.175	50.963	238.281
KO.KCTX	28.335	40.263	91.654
FR.DAUF	-0.353	47.660	429.826
IV.CSOB	14.144	40.826	263.002
NL.FR024	5.930	52.856	1884.629
Y8.RO03A	23.876	44.777	250.693
IV.ESAL	15.134	37.755	246.084
Z6.A267A	18.482	46.946	158.993
NL.G341	6.765	53.253	1917.329
GU.GORR	9.293	44.607	181.709
HE.OUF	24.731	64.367	220.482
TH.WARTH	10.318	50.845	162.467
NL.G454	6.764	53.200	1665.009
NL.PPB1	4.670	52.653	4137.947
NL.ZH071	4.295	52.104	2005.972
PL.BEL	20.789	51.836	15502.699
IV.IPAI	14.725	36.912	110.977
IV.PRMA	10.313	44.764	422.984
NL.G553	6.846	53.143	1909.214
NL.VBG4	6.669	52.544	4469.923
CH.BERGE	0.000	0.000	nan
HE.HEF	23.664	68.406	619.193
GR.GRC1	11.520	48.995	160.749
IV.MBAL	10.859	45.698	170.184
IV.PLAC	16.438	38.449	83.024
NL.T031	6.792	52.430	1765.833
RD.RJF	1.516	45.304	317.951
IV.CSFT	14.140	40.829	248.101
KO.EDC	27.862	40.346	92.580
RD.LOR	3.859	47.268	305.892
IV.SIRI	15.867	40.182	132.361
NL.G112	6.889	53.367	1761.673
HA.DOMV	22.980	38.257	116.654
3D.OEM4	14.942	38.410	217.198
TU.ANDN	36.345	37.580	215.561
GU.GBOS	7.840	44.242	162.021
IV.FAVA	13.660	37.329	395.732
HT.TYRN	22.233	39.711	115.290
Z6.CP05A	20.248	49.513	176.370
GU.EQUI	10.153	44.166	107.270
NL.G283	6.729	53.272	1939.228
NL.G074	6.546	53.395	2003.917
NO.NAO05	10.819	60.851	254.728
NL.NIW4	6.043	53.355	4298.521
HP.FSK	20.562	38.459	717.890
FR.STR	7.763	48.580	565.027
CH.MESRY	6.308	46.347	444.952
GE.PABE	23.968	55.505	178.596
NO.NC301	11.490	61.276	114.262
IV.QLNO	8.346	44.324	182.250
Z6.GMRK	21.220	42.659	100.710
TH.LUHNE	10.419	51.254	159.805
FR.LOUF	-1.286	48.676	513.724
IV.EVRN	15.136	37.689	162.576
CH.ILLEZ	6.940	46.219	284.690
OE.WTTA	11.636	47.264	163.111
Y8.PL06A	22.137	49.594	171.660
QE.HNA1	4.956	60.613	487.050
NO.ARD7	25.471	69.529	399.198
NL.G532	7.080	53.167	1928.160
IV.MABI	10.514	46.055	11.895
NL.G491	6.731	53.176	1908.670
SL.ROBS	13.509	46.245	93.771
SI.ROSI	11.412	46.928	152.132
NL.G384	6.548	53.201	1828.030
FR.BLAF	6.045	43.951	395.911
GR.HAM4	10.239	53.479	379.349
XP.FR10A	0.895	45.982	376.634
EI.IMAY	-9.380	54.161	1842.512
NL.G173	6.636	53.336	1808.565
NL.G681	6.635	53.235	1793.690
FR.PLEF	-2.333	48.494	612.671
Y8.PL27A	18.709	49.902	377.044
RO.BIR	27.644	46.233	243.315
OX.AGOR	12.047	46.233	119.124
IV.CERA	14.018	41.598	132.805
NL.G363	6.924	53.265	1672.557
FR.CLMF	-0.196	45.523	417.403
KO.IKL	33.684	36.237	103.982
XP.FR31A	4.528	44.051	371.127
PL.GKP	17.237	53.270	56.823
KO.HRTX	29.673	40.801	157.367
FR.OGMY	5.889	45.881	346.561
NL.G194	6.817	53.338	1864.962
NL.L2077	6.974	52.757	1814.552
OE.BIOA	13.638	47.691	138.239
IV.ROSPO	14.931	42.236	2668.578
IV.STRG	15.215	38.810	180.354
NO.NC604	11.396	60.726	228.460
NL.G264	6.546	53.282	1965.244
KO.ADVT	29.738	40.433	100.504
NL.G093	6.725	53.388	1916.660
FR.REYF	-0.393	43.068	186.485
NS.GILDE	14.190	66.929	212.497
CH.SENIN	7.299	46.363	291.931
Y8.PL18A	20.506	49.970	162.212
1Y.GR17	21.631	39.734	168.879
1Y.GR09	23.687	40.660	97.435
GR.GRA3	11.317	49.761	222.594
HP.PYL	21.742	36.895	245.145
IV.GIUL	13.255	41.558	nan
NL.G571	7.022	53.135	1899.048
Z6.HU12A	20.827	47.183	381.563
1Y.GR32	22.988	36.967	138.398
CH.VANNI	7.597	46.210	224.510
NL.VBG3	6.669	52.544	3958.881
GE.PSZ	19.894	47.918	117.033
EI.IWEX	-6.774	52.374	1455.709
HU.BUD	19.020	47.483	124.466
FR.HOHE	7.484	48.659	321.890
NO.ARB1	25.508	69.538	417.128
NL.G554	6.846	53.143	1860.692
IV.CRTC	12.883	43.768	179.293
FR.SJAF	2.876	42.483	182.894
Y8.RO13A	24.792	43.830	128.826
MD.KIS	28.817	46.998	120.068
MN.KLV	22.150	38.044	122.695
NL.G241	6.856	53.290	3299.732
RO.SCHLR	27.831	45.470	125.501
NS.STEI	15.242	67.930	282.655
IV.ENIC	15.022	37.631	182.190
Z6.A365A	10.733	48.165	233.370
FR.CSCF	1.615	47.644	403.126
KO.SLVT	28.210	41.229	547.226
FR.OGVA	6.682	46.330	361.836
CH.BNALP	8.425	46.870	335.944
Z6.CP15A	20.521	48.557	110.260
NL.FR023	5.930	52.856	1840.313
FR.GARF	1.591	46.515	397.078
NL.G012	6.731	53.443	1915.376
KO.KURC	32.743	41.846	136.197
NS.RAUS	14.042	66.436	213.845
NL.GK021	6.293	53.301	1940.208
NL.G453	6.764	53.200	1660.094
OE.CONA	15.862	47.928	149.884
GE.FALKS	11.265	51.682	158.438
FR.ADHE	4.770	44.374	376.418
NL.G202	6.895	53.335	1757.861
GR.FUR	11.277	48.164	245.953
GB.CLGH	-6.111	55.083	1231.161
Z6.A141A	11.849	47.753	458.371
FR.NEUF	6.025	49.325	317.699
Y5.BH15A	18.465	45.058	333.448
BW.RTSH	12.850	47.754	311.725
CA.POBL	1.083	41.379	180.755
HU.PSZ	19.894	47.918	117.033
Z6.AL05A	20.392	40.705	254.195
IV.SLCN	15.633	40.390	129.021
NS.BLS5	6.457	59.423	422.697
NO.NB204	11.158	61.050	251.147
IV.VCRE	14.431	40.819	205.949
HP.AXS	21.376	38.196	146.661
NL.G643	7.038	53.221	1952.476
HT.LKD2	20.658	38.789	789.431
NL.N023	6.453	53.072	1681.300
EI.IGLA	-9.375	53.419	2281.663
CH.FUORN	10.264	46.620	176.950
HL.KTHA	23.062	36.257	252.962
HT.SIGR	25.855	39.211	98.569
IV.ECHR	14.913	37.686	339.444
RF.GEPF	13.139	46.275	10.948
FR.MVIF	7.153	43.896	256.935
NL.G051	6.771	53.418	1780.084
GR.GEC2	13.701	48.844	153.731
Y8.RO32A	23.825	47.221	123.337
SI.ABSI	11.320	46.728	150.321
NL.G094	6.725	53.388	1726.038
KO.DIKM	35.258	41.650	167.206
NL.G263	6.546	53.282	1734.614
NO.NC603	11.481	60.705	236.660
XP.FR21A	4.452	44.892	275.743
KQ.QBN	9.897	53.723	222.496
IV.MONC	7.927	45.074	330.805
BQ.HOBG	7.333	50.983	231.943
FR.SOMF	0.053	48.299	476.843
GR.GRA4	11.435	49.564	178.484
1Y.GR10	21.594	40.483	110.925
CH.MUO	8.637	46.968	284.231
NL.T014	6.740	52.464	1663.733
NL.G622	6.842	53.387	2128.770
TH.RANIS	11.564	50.662	157.461
NL.G471	6.941	53.196	1759.661
PL.OJC	19.798	50.219	113.656
MN.BNI	6.678	45.052	251.522
Z6.HU02A	20.525	48.122	102.393
IV.MRGE	7.061	45.770	214.181
FR.IRAF	-1.037	43.034	196.615
Y8.PL08A	22.677	50.376	198.487
SL.MOZS	14.443	46.294	153.983
NL.G193	6.817	53.338	1699.606
OX.CLUD	12.881	46.457	138.148
GU.RSP	7.265	45.148	83.111
NL.G364	6.924	53.265	1704.008
IV.AGLI	9.173	41.127	150.725
HT.PAIG	23.677	39.936	93.963
GE.THERA	25.475	36.367	183.657
IV.LPEL	14.183	42.047	180.710
HE.KEV	27.004	69.757	395.510
Z6.HU23A	20.250	47.639	325.981
NO.NC201	10.914	61.299	234.718
NL.G661	6.585	53.179	1913.433
GE.MTE	-7.544	40.400	190.529
Z6.A030A	13.561	47.828	290.415
NL.G174	6.636	53.336	1896.799
FR.OGCY	6.712	45.472	239.514
OE.OBKA	14.549	46.509	162.126
IV.ESVO	14.947	37.773	249.466
NL.ZLV2	6.753	53.092	4069.206
SL.DOBS	15.470	46.150	123.617
GR.ASSE	10.674	52.128	245.591
NL.J01	5.055	52.765	771.644
NL.G383	6.548	53.201	1917.291
NL.FR042	6.119	52.876	1693.690
GR.BSEG	10.316	53.936	179.072
IV.MDI	9.716	45.770	168.022
NL.NIW3	6.043	53.355	4542.565
NO.NAO02	10.897	60.806	238.731
NL.G073	6.546	53.395	1702.563
FR.COLF	3.694	45.500	290.172
XE.ZIDIL	16.260	39.782	111.532
NL.G284	6.729	53.272	1947.987
IX.SRN3	15.458	40.486	112.204
NL.G432	7.079	53.232	1746.369
NL.G591	6.988	53.116	1865.284
CH.GRIMS	8.319	46.578	242.073
KO.ENEZ	26.153	40.736	115.981
CL.ROD3	21.892	38.308	155.660
IV.PLMA	9.854	44.050	124.067
Y8.PL16A	21.355	50.592	128.538
HA.LOUT	22.974	37.988	132.950
GR.AHRW	7.076	50.541	266.855
NL.G184	6.722	53.331	1746.815
HE.RUF	28.950	61.425	375.229
NL.DBN	5.177	52.102	735.152
IV.MILZ	15.231	38.271	106.125
HL.PRK	26.265	39.246	112.488
XP.FR30A	1.667	44.056	356.992
CH.FIESA	8.111	46.435	237.768
GE.GVD	24.087	34.839	249.399
SI.BOSI	11.319	46.495	169.346
NL.G373	7.035	53.274	1830.026
KO.GULT	30.515	40.432	120.233
IV.NOCI	17.064	40.789	208.404
IV.TREM	15.510	42.123	297.832
Y8.PL26A	19.174	50.190	163.513
FR.PLDF	3.623	45.965	302.773
1Y.MK01A	21.851	42.279	84.106
NL.GK014	6.247	53.291	1919.402
NL.ZH043	4.363	51.842	1883.517
NL.G691	6.644	53.213	1849.962
HL.ELAT	22.791	38.628	225.718
UP.DEL	13.870	56.470	169.749
KO.GADA	25.899	40.191	105.254
NL.G561	6.931	53.148	1916.236
FR.GRN	5.744	45.241	329.528
SX.FROHN	12.989	50.596	147.053
CH.CHASS	7.121	47.161	324.683
FR.RONF	6.645	47.710	295.696
OE.CSNA	15.859	47.928	149.930
1Y.GR07	22.021	40.784	102.717
KO.LOD	32.763	39.888	97.025
GE.STU	9.195	48.772	189.609
ST.DOSS	11.188	45.881	163.735
Y8.PL19A	20.944	50.283	136.445
GR.BUG	7.271	51.441	265.436
IV.EPMN	15.177	37.820	166.144
NL.VNDM2	6.839	53.115	1592.339
NL.G083	6.644	53.395	1861.055
FR.SALSA	6.689	43.881	303.578
IV.CRMI	10.980	43.796	135.676
KO.MRMT	27.583	40.609	291.245
GR.HLGA2	7.886	54.187	296.169
IV.CAFE	15.237	41.028	334.736
NL.G274	6.628	53.283	1793.457
OT.TAR1	17.285	40.526	207.875
FR.VERF	2.484	45.750	319.917
NL.L2067	6.823	52.810	3733.523
NS.ROEST	12.104	67.520	215.227
TH.LEIB1	11.198	50.576	152.474
HU.BSZH	20.267	47.300	362.211
OE.DAVA	9.880	47.287	236.248
BQ.NAST	7.861	50.195	259.057
BW.ALFT	11.280	48.142	259.487
RO.CFR	28.136	45.178	88.638
SX.WIMM	11.505	51.521	154.049
FR.GUEF	-2.634	47.887	573.461
CH.MTI02	7.165	47.379	333.690
IV.MGR	15.554	40.138	99.767
NL.G064	6.871	53.411	1954.377
NO.NC404	11.646	61.098	0.229
HL.PLG	23.444	40.373	89.877
GB.CWF	-1.308	52.739	665.527
NL.G293	6.787	53.281	1757.064
UP.BREU	18.578	63.891	191.591
NL.G163	6.531	53.339	1767.009
BW.LAEN	12.186	50.183	149.812
KO.SNOP	35.207	42.020	180.103
NL.G394	6.724	53.225	1632.143
GB.PGB1	-4.484	55.812	1692.656
GU.IMI	7.893	43.910	202.193
NO.ARD9	25.486	69.545	401.609
NL.G481	7.029	53.197	2304.487
Y8.PL07A	22.404	49.943	272.528
FR.OGS3	5.806	45.070	241.123
CH.FUSIO	8.663	46.455	196.497
FN.SGF	26.526	67.442	295.892
NL.ZH061	4.220	51.978	2125.233
FR.WLS	7.354	48.413	371.359
NL.G444	6.684	53.204	1852.536
MN.AQU	13.405	42.354	105.447
CR.STON	17.700	42.872	247.117
NL.G351	6.862	53.255	1914.600
Z6.A266A	18.265	46.526	181.779
SL.CEY	14.422	45.738	128.362
BE.OPTB	5.636	51.111	550.304
Z6.ME01A	19.881	42.846	171.703
HL.RDO	25.536	41.145	86.686
RO.HARR	27.930	44.689	108.368
IV.MTTG	15.700	38.003	110.572
Y8.RO02A	25.308	46.946	104.367
FR.BORF	-0.203	42.945	174.815
TH.ABG1	12.576	50.968	147.632
RO.GIRR	26.501	46.955	13.740
NL.FR034	5.713	52.981	1874.206
NO.NBO03	10.837	61.013	249.585
IV.SEI	11.359	44.054	164.286
CH.WGT	8.925	47.098	306.015
Y8.BG01A	27.193	43.689	140.779
EI.ILTH	-6.336	54.028	1444.159
IV.EMNR	15.026	37.817	254.809
NL.L4116	6.631	53.032	1955174.217
IV.CBAC	14.081	40.811	233.332
NL.G102	6.804	53.378	1625.938
NL.T021	6.979	52.463	1895.555
SL.KOGS	16.250	46.448	156.900
GR.GRB1	11.651	49.390	161.764
CH.MMK	7.964	46.051	184.288
HC.KNDR	23.625	35.235	158.309
RO.PLOR4	26.650	45.851	55.087
NL.G543	6.758	53.124	1830.751
NO.ARC6	25.488	69.534	392.310
GR.LNIZ	14.210	53.493	255.198
HT.LIT	22.489	40.103	99.696
KO.CHBY	32.890	38.582	183.808
BW.BGDS	13.027	47.635	128.959
KO.LMOS	32.696	36.602	142.298
Z6.BRY	18.539	42.901	263.869
NL.HWF1	6.351	53.071	4470.476
HC.KTHR	22.994	36.245	274.146
CH.EMING	8.847	47.895	274.200
NL.ZH022	4.488	52.074	1687.584
4P.IT03A	8.289	45.238	467.016
FR.PLYF	4.743	46.957	445.396
Y5.BH04A	17.794	43.348	217.700
AC.VLO	19.496	40.469	841.553
KO.SVSK	36.992	39.916	92.068
CQ.AKMS	32.335	35.018	128.357
BW.RTSA	12.842	47.768	364.770
GE.FLT1	11.237	52.331	140.595
SX.MUHB	12.342	51.658	173.385
NL.G654	6.954	53.169	1679.429
HP.SERG	22.057	38.413	143.793
QE.HNB3	4.964	60.608	490.701
NL.T062	6.910	52.343	1637.642
CA.CFAR	0.661	40.560	1194.769
TH.MORAS	11.225	50.536	155.758
TH.GEIDO	12.200	50.735	141.966
NL.DR031	6.308	52.898	1819.220
GE.PUL	30.317	59.767	185.291
NL.N034	6.405	53.111	1592.713
NL.L1071	7.096	52.921	1305.666
HP.PLEV	21.407	38.412	184.141
FR.OGCN	5.089	45.154	513.033
FR.GOTF	0.739	49.017	443.358
Y8.RO23A	23.727	45.866	103.298
NL.G141	6.771	53.359	1994.063
HU.MPLH	17.535	47.171	122.603
NL.G393	6.724	53.225	1660.183
IV.ESLN	14.974	37.693	191.795
HE.NIF	27.810	63.390	370.091
NL.G164	6.531	53.339	1831.648
8C.CI18	6.770	45.900	253.773
Z6.A031A	13.498	48.427	162.215
FR.MLYF	5.768	43.988	374.898
Z6.HU22A	19.131	46.328	188.085
NL.G671	6.823	53.321	1884.704
NO.JMIC	-8.506	70.987	390.516
CH.SLE	8.492	47.764	245.381
NL.N011	6.473	53.119	1679.228
Y8.PL17A	20.301	49.601	162.744
KO.SHUT	30.551	38.553	112.869
NL.SPY1	6.784	53.410	4363.564
NL.G422	6.989	53.222	1823.802
NL.G581	6.907	53.110	2089.858
RD.ORIF	5.880	44.918	236.115
NL.L2087	6.919	52.669	4216.306
NL.G294	6.787	53.281	1631.926
FR.MIGAL	6.033	43.080	264.751
CQ.OSC1	31.277	33.500	79.784
NO.NC403	11.668	61.054	224.152
NL.G063	6.871	53.411	3281.485
XP.FR01A	4.072	46.956	340.237
FR.OGJA	6.710	44.910	197.141
NL.FR052	5.869	53.070	2049.872
NL.G632	6.911	53.331	1888.441
Z6.A035B	12.642	47.160	150.932
KO.RKY	27.178	40.687	93.298
HT.CHOS	26.051	38.387	198.844
IV.MRVN	16.196	41.061	155.522
IV.VCNE	14.434	40.827	176.701
CH.GRYON	7.111	46.251	297.683
HL.JAN	20.849	39.656	188.420
FR.WALT	7.277	47.966	288.338
OE.LESA	12.677	47.424	166.754
NO.ARA3	25.502	69.535	390.040
BW.MSBB	11.973	50.031	159.431
GX.CAMPI	15.274	40.707	113.965
FR.BARI	3.312	49.566	542.396
NL.G273	6.628	53.283	1927.012
FO.OPS	7.883	48.921	324.680
NL.G82B	6.724	53.225	612.937
NS.MOR8	14.731	66.283	214.087
HL.NEO	23.222	39.306	118.561
NL.G084	6.644	53.395	1807.061
NL.WYN2	5.458	53.200	501.869
FR.OGDF	5.069	44.557	457.879
IV.EMFS	14.998	37.720	234.650
HL.SMG	26.838	37.704	134.741
IV.PIGN	14.180	41.200	104.098
NL.G374	7.035	53.274	1654.462
RO.ONER	26.394	46.335	19.125
IV.CRE	11.952	43.619	138.328
NL.FR011	5.887	53.142	2044.749
IV.CMIS	14.089	40.778	294.788
RO.PRAR	26.228	47.362	152.788
KO.ELL	29.909	36.748	139.004
NL.G183	6.722	53.331	2078.386
PM.PFVI	-8.827	37.133	209.703
FR.ARTF	5.807	43.588	340.242
CA.ICJA	2.119	41.384	328.572
IV.SORR	14.336	40.583	96.956
CH.SALEV	6.097	46.060	424.494
Y8.PL09A	21.405	49.642	180.850
NL.ZH044	4.363	51.842	2026.996
NL.GK013	6.247	53.291	1773.940
NL.G461	6.850	53.198	1768.342
IV.GUMA	13.335	43.063	169.130
GR.CLZ	10.374	51.843	167.156
RO.ODSR	25.292	46.297	158.202
RO.MDVR	21.713	44.782	103.019
IV.SNAL	15.209	40.925	298.673
NL.N033	6.405	53.111	1548.498
CH.COLLE	6.121	46.292	390.056
IX.AND3	15.333	40.930	321.421
QE.HNB4	4.951	60.607	500.812
NL.G653	6.954	53.169	1702.966
XE.MORMA	15.972	39.870	90.068
Y5.BH14A	17.657	44.514	108.775
IV.MBFT	12.953	37.946	101.366
Z6.AL04A	19.562	41.007	934.067
GR.KUDEN	9.196	53.969	226.291
IV.EPIT	15.057	37.811	186.055
IV.CRJA	13.004	37.802	298.525
FR.ESCA	7.374	43.831	234.710
NL.ROLD	6.085	50.869	321.652
KO.GEML	29.212	40.465	95.591
NL.G212	6.594	53.313	1790.417
IV.CAAM	14.142	40.820	270.870
GU.STV	7.326	44.245	182.422
NL.L1076	7.095	52.920	1373.349
Y8.RO33A	26.659	47.278	120.411
IV.PTCC	13.354	46.407	148.666
CH.EMBD	7.832	46.217	232.651
NL.G041	6.675	53.415	1968.170
KO.GEDZ	29.410	39.044	193.113
IV.ISPIC	14.903	36.780	134.441
KO.KULA	28.661	38.514	90.053
NI.PURA	12.742	46.426	203.339
HA.HAVD	20.385	38.204	639.402
NL.SL011	4.868	52.855	2183.356
